"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CT5501H021'","HL-13 (26L, 40L, 55L)","0","0","1","0","1","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CT5501H022'","HL-14 (26L, 40L, 55L)","0","0","1","0","1","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD5201H021'","HONEY COMB SET 7 MM / 35 MM","0","0","2","0","2","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP2601H021'","Honey comb CP2602H","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP3001H017'","Horizontal Louvers,CP3001H","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010007'","I - FLOAT IOT MAIN PCB WITH HARNESS","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24118008548'","I - FLOAT IOT SENSOR PCB","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010074'","I-TOME LV PCB WITH REMOTE","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701030009'","I-TOME PRO 36"" MAIN IN-HOUSE PCBA","0","0","4","0","4","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701030013'","I-TOME PRO 48 LED IN-HOUS","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701030007'","I-TOME PRO 48 MAIN IN-HOUSE PCBA","0","0","3","0","3","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701030008'","I-TOME PRO 56"" MAIN IN-HOUSE PCBA","0","0","2","0","2","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010063'","I-TOME REMOTE POWER PCB IR PCB HARNESS","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD5003H016'","ICE LID 50-65L","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD6503HI006'","IOT PCB","0","0","1","0","1","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP3001H029'","Knob,CP3001H","0","0","3","0","3","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25140000092'","LAMP HOLDER - NEW","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010027'","LED PCB WITH HOLDER","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24118000030'","LED PCB WITH HOLDER(3 Colour)","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000856'","LEG FOR DESK-21 WHITE","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701180002'","LV 48 AEON PCB ASSY INHOUSE","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","23701180005'","LV 48 AEON V.C. PCBA ASSY AGG","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160030002'","LV 48Ã¢â‚¬Â�?ECOTECH PRIME PCB AS","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD5003H048'","MAIN MOTOR 50-65L","0","0","0","1","0","1","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CD9001H030'","MAIN MOTOR CD9001H","0","0","0","0","0","0","8201043","Appliances",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","CP4601H025'","MAIN MOTOR CP4601H","0","0","0","0","0","0","8201043","Appliances",
