"BRAND","PART","DESCRIPTION","PRODUCT","MAPPED_MODEL","MODEL_DESCRIPTION","MAX_USED_QTY","SERVICE_LEVEL","PART_LOCATION","STATUS","LAST_UPDATED_DATE",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607014810","1400 MM QUASAR ORNA. SILVER BLUE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607015210","1400 MM QUASAR ORNA GOLD/CHOCOLATE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607214910","1400 MM GRATIA METALLIC IVORY ��","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607216810","1400 MM GRATIA TOPAZ GOLD","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607216910","1400 MM GRATIA P/M/WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607414810","1400 MM QUADRO ORNA. SILVER/BLUE �","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607415210","1400 MM QUADRO ORNA. GOLD/CHOCOLATE.","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607416310","1400MM QUADRO ORNA METALLIC IVORY.CHERRY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607416410","1400MM QUADRO ORNA.SEA OYSTER GREEN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135607611010","1400 MM (56"") Summer Breeze White","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135607612010","1400 MM (56"") Summer Breeze Brown","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135607612510","1400 MM (56"") Summer Breeze P/Ivory","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607718210","1400 MM ORIENTWENDY MEATALLIC BLK/GOLD","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607718310","1400 MM ORIENT WENDY TOPAZ GOLD/BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607718410","1400 MM ORIENT WENDY AZURE BLUE/SILVER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135607718910","1400 MM ORIENT WENDY PEARL WHT/WALNUT","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135608211010","1400 MM SUMMER BREEZE PRO WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135608212010","1400 MM SUMMER BREEZE PRO BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135608212510","1400 MM SUMMER BREEZE PRO P IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135609411010","1400 MM NEW AIR PLUS WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135609412010","1400 MM NEW AIR PLUS BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
